Line;Peak_1;Peak_2;Peak_3;Peak_4;Peak_5;Peak_6;Peak_7;Peak_8;Peak_9;Peak_10;Peak_11;Peak_12;Peak_13;Peak_14;Peak_15;Peak_16;Peak_17;Peak_18;Peak_19;Peak_20;Peak_21;Peak_22;Peak_23;Peak_24;Peak_25;Peak_26;Peak_27;Peak_28
5;0.0020631;0.0072014;0.0005643;0.0038229;0.0008187;0.0096613;0.2976356;0.0014885;0.0052014;0.0143534;0;0.0057288;0.0047717;0.02549;0.0029486;0.0022951;0.2172778;0.0033837;0.155447;0.0063392;0.0031784;0.0201418;0.051101;0.0067528;0.0195276;0.0287528;0.0713595;0.0056917
5;0.0049738;0.0212952;0.0012139;0.0152553;0.010719;0.0226437;0.0009092;0.0179556;0.0331233;0.0236564;0.020117;0.0020533;0;0;0.0870483;0.0009079;0.038182;0.0018018;0.2990452;0;0;0.002667;0.195465;0.0306829;0.0516341;0.0400928;0.0406928;0.0180732
5;0.0053945;0.0126155;0.0018016;0.0121563;0.0156581;0.0903855;0.0014586;0.0238454;0.0316251;0.0457224;0.0105077;0.0017399;0.0136618;0;0.0033769;0.0016915;0.2168638;0.0054402;0.3051442;0.0052148;0.0023205;0.0100177;0.0054652;0.0178379;0.016266;0.027429;0.0888041;0.006826
5;0.0008115;0.002806;0.001688;0.0003654;0.0075721;0.1317823;0.0009229;0.000575;0.0001847;0.0038936;0;0.0047923;0.038104;0.0008758;0.0007729;0.0013629;0.176489;0.0034715;0.003038;0.0416081;0.0072512;0.3617148;0;0.0057386;0;0.0074789;0.1958601;0.0008401
5;0.0025909;0.0070936;0.0010297;0.0014578;0.0133288;0.1946394;0;0.0016089;0.0022496;0.0164306;0;0.0048774;0.0385253;0.00104;0.0019131;0.0028263;0.3176358;0.0071637;0.0416686;0.0212224;0.0092797;0.1405815;0.0137202;0.005978;0.0143116;0.0168893;0.1106354;0.0041267
5;0.002514;0.0052768;0.000562;0.001604;0.0244493;0.2358252;0.0065025;0.0019775;0.0024234;0.0267791;0.002793;0.0036081;0.031497;0.0006797;0.0023588;0.0027863;0.2639344;0.0102887;0.03227;0.0091404;0.005359;0.078805;0.0270005;0.0089789;0.0182448;0.0142642;0.1639055;0.0101465
6;0.0032606;0.0372047;0;0.0108052;0.1231964;0.0089011;0.0086139;0.0481893;0.0468119;0.0051457;0.0206853;0;0.0014056;0;0.007983;0.0019389;0.0410904;0.0221212;0.377281;0;0;0;0.0076656;0.0256918;0.0272336;0.0545851;0.0819675;0.0161538
6;0.0030314;0.0194593;0;0.0121684;0.1222899;0.0225973;0.0146355;0.0279994;0.0372205;0.0100362;0;0.0007106;0.0014206;0.0029488;0.0120029;0.0015034;0.0580204;0.0300876;0.269792;0.0030593;0.0012813;0.0045973;0.0059463;0.0141018;0.0086989;0.0489983;0.2184693;0.003706
6;0.0020586;0.0012209;0.0053147;0.0001704;0.0197468;0.3858838;0.0008999;0.0005462;0.0002649;0.0002206;0.000273;0.0088632;0.0274701;0.001334;0.0002855;0.0093934;0.1269693;0.0147123;0.0034708;0.05399;0.0785927;0.1174523;0.001334;0.0016742;0.0018387;0.0016786;0.1322633;0.0020778
6;0.0083414;0.0376913;0.0021915;0.0313557;0.0417937;0.012422;0.0048241;0.0427773;0.0423318;0.0078358;0.0263759;0;0.0055999;0.0411698;0.0619778;0.0027505;0.1936856;0.010024;0.2122327;0.0034955;0;0.012771;0.008462;0.0178367;0.0201978;0.0148091;0.1285335;0.0085139
6;0.0031276;0.0093667;0.0004955;0.0069663;0.1047645;0.0157972;0.0062632;0.0199215;0.0225901;0.0257415;0;0.0067127;0;0;0.0021848;0.0021603;0.3141153;0.0299566;0.2472366;0.0016888;0;0.0111631;0.0140364;0.0140084;0.0135353;0.0471552;0.0532918;0.0049947
